Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID7603;Mamasa;Sulawesi Barat;1,98;2,18;,18;,238636;70,94;12,36;7,88;7736
ID7604;Mamuju;Sulawesi Barat;2,4;3,79;,23;,238636;67,77;13,24;7,96;9494
ID7605;Pasangkayu;Sulawesi Barat;3,84;3,13;,15;,136364;66,45;11,95;8,09;1172
ID7606;Mamuju Tengah;Sulawesi Barat;3,39;2,52;,11;,113636;68,55;12,53;7,51;8408
ID8101;Kepulauan Tanimbar;Maluku;3,83;68,96;,055046;,070922;63,45;12,3;9,69;6335
ID8102;Maluku Tenggara;Maluku;3,42;64,58;,087156;,056738;65,14;12,82;9,76;7580
ID8103;Maluku Tengah;Maluku;3,22;62,59;,155963;,280142;66,45;14,17;9,68;10243
ID8104;Buru;Maluku;3,02;70,82;,045872;,053191;66,44;13,04;8,79;10347
ID8105;Kepulauan Aru;Maluku;3,47;65,81;,137615;,039007;62,96;12,31;8,83;7623
ID8106;Seram Bagian Barat;Maluku;3,4;72,2;,077982;,134752;61,85;13,48;8,92;8720
ID8107;Seram Bagian Timur;Maluku;1,59;69,07;,087156;,078014;59,62;12,77;8,46;9480
ID8108;Maluku Barat Daya;Maluku;2,64;76,66;,12844;,074468;62,55;12,35;8,59;6918
ID8109;Buru Selatan;Maluku;3,5;75,39;,059633;,053191;66,36;12,7;7,95;7600
ID8171;Ambon;Maluku;3,92;61,56;,09633;,120567;70,63;16,04;12,2;14148
ID8172;Tual;Maluku;3,46;60,61;,068807;,039007;65,68;13,98;10,53;7405
ID8201;Halmahera Barat;Maluku Utara;1,5;64,88;,09396;,129482;66,34;13,2;8,37;7467
ID8202;Halmahera Tengah;Maluku Utara;162;63,02;,073826;,057769;64,15;13,11;9,01;7966
ID8203;Kepulauan Sula;Maluku Utara;1,34;63,76;,087248;,101594;63,39;12,77;9;7040
ID8204;Halmahera Selatan;Maluku Utara;14,04;68,87;,221477;,237052;65,93;12,79;8,1;7142
ID8205;Halmahera Utara;Maluku Utara;3,3;64,39;,161074;,133466;69,61;13,61;8,62;7519
ID8206;Halmahera Timur;Maluku Utara;8,43;64,8;,107383;,089641;69,08;12,76;8,27;7973
ID8207;Pulau Morotai;Maluku Utara;2,62;67,71;,067114;,051793;67,35;12,93;7,4;6378
ID8208;Pulau Taliabu;Maluku Utara;13,05;69,23;,053691;,065737;62,22;12,65;7,67;6467
ID8271;Kota Ternate;Maluku Utara;2,88;59,58;,073826;,059761;71,06;15,75;11,81;13290
ID8272;Kota Tidore Kepulauan;Maluku Utara;1,35;66,2;,060403;,073705;69,43;14,32;9,95;8316
ID9101;Fakfak;Papua Barat;,97;71,53;,055866;,068111;68,5;14,63;8,97;7446
ID9102;Kaimana;Papua Barat;-2,09;75,65;,055866;,055728;64,93;12,41;8,58;8151
ID9103;Teluk Wondama;Papua Barat;1,09;74,97;,072626;,052632;60,24;11,63;7,08;8034
ID9104;Teluk Bintuni;Papua Barat;-2,29;67,35;,139665;,108359;60,99;12,42;8,22;9708
ID9105;Manokwari;Papua Barat;3,2;71,49;,078212;,120743;68,82;13,66;8,34;11977
ID9106;Sorong Selatan;Papua Barat;3,51;80,07;,083799;,074303;66,39;13,17;7,49;6188
ID9107;Sorong;Papua Barat;1,62;68,89;,111732;,139319;66,22;13,72;8,33;7350
ID9108;Raja Ampat;Papua Barat;13,54;66,43;,111732;,111455;64,83;12,06;8,02;7882
ID9109;Tambrauw;Papua Barat;,52;75,61;,067039;,04644;60,2;12,18;5,39;4903
ID9110;Maybrat;Papua Barat;1,16;81,51;,083799;,040248;65,25;13,47;6,96;5245
ID9111;Manokwari Selatan;Papua Barat;1,45;84,61;,039106;,034056;67,6;12,35;6,63;5505
ID9112;Pegunungan Arfak;Papua Barat;4,17;94,71;,050279;,043344;67,26;11,72;5,12;5009
ID9171;Kota Sorong;Papua Barat;-1,44;61,4;,050279;,105263;70,93;14,39;11,19;13744
ID9401;Merauke;Papua;2,02;70,69;,058166;,077236;67,07;14,14;8,73;10201
ID9402;Jayawijaya;Papua;1,29;84,14;,049217;,056911;59,9;12,53;5,6;7545
ID9403;Jayapura;Papua;5,06;67,97;,04698;,093496;67,16;14,39;10,05;9989
ID9404;nabire;Papua;4,44;73,09;,060403;,081301;68,15;12,18;10,01;8856
